*          DATA SET ACYR2000   AT LEVEL 073 AS OF 12/30/99                      
         TITLE 'PAN BOOK CONVERTED TO YEAR 2000 COMPLIANCE'                     
***********************************************************************         
*  KEY of status                                                      *         
*         FX  - FIXED                                                 *         
*         OK  - LOOKED AT AND NO CHANGES NEEDED                       *         
*         NG  - NEEDS TO BE FIXED                                     *         
*         IT  - IN TESTING                                            *         
***********************************************************************         
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------  ---------------------------------         
ACREPPL02   AHYDN   OK      Aug06/97   Hard code date Feb04/91 compress         
ACREPPM02   JSHAN   FX      OCT14/97                                            
ACREPPT02   AWILN   OK      SEP29/97                                            
ACREPP102   LSTAN   FX      FEB18/98                                            
ACREPP202   RDESN   OK      JUL29/97                                            
ACREPP302   RDESN   OK      JUL29/97                                            
ACREPP402   RDESN   OK      JUL29/97                                            
ACREPP502   RDESN   OK      JUL30/97                                            
AC0EPP602   RDESN   OK      JUL30/97                                            
ACREPP702   AWILN   OK      DEC16/97                                            
ACREPP802   RDESN   OK      JUL29/97                                            
ACREPP902   RDESN   OK      JUL29/97                                            
ACREPRA02   LSTAN   FX      AUG28/97    Changed to use ACCONVMOS                
ACREPRC02   AWILN   OK      SEP30/97                                            
ACREPRL02   AHYDN   OK      SEP23/97                                            
ACREPRL03   AHYDN   FX      JUL09/97                                            
ACREPRL04   AHYDN   FX      SEP24/97                                            
ACREPRL05   AHYDN   OK      SEP24/97                                            
ACREPRL06   AHYDN   OK      SEP24/97                                            
ACREPRU02   JSHAN   OK      OCT14/97                                            
ACREPR102   JSHAN   OK      OCT15/97                                            
ACREPR202   JSHAN   OK      OCT15/97                                            
ACREPR302   RDESN   OK      JUL30/97                                            
ACREPR402   JSHAN   OK      OCT15/97                                            
ACREPR502   JSHAN   OK      OCT15/97                                            
ACREPR602   JSHAN   FX      OCT21/97                                            
ACREPR702   JSHAN   OK      OCT22/97                                            
ACREPR802   JSHAN   OK      DEC15/97                                            
ACREPR902   JSHAN   OK      DEC22/97                                            
ACREPSM02   LSTAN   OK      SEP22/97                                            
ACREPSX02   LSTAN   OK      SEP23/97                                            
ACREPSZ02   LSTAN   FX      SEP23/97                                            
ACREPTA02   JSHAN   OK      DEC09/97                                            
ACREPTJ02   LSTAN   OK      May27/98                                            
ACREPTL02   JDILN   OK      May01/98                                            
ACREPTM02   DCURN   OK      AUG20/97                                            
ACREPTT02   JSHAN   FX      DEC09/97                                            
ACREPTT95   JSHAN   FX      DEC09/97                                            
ACREPTT96   JSHAN   FX      DEC09/97                                            
ACREPTU02   GHOAN   FX      AUG04/97                                            
ACREPUN02   RDESN   FX      NOV11/97                                            
ACREPUP02   DCURN   OK      AUG20/97                                            
ACREPWC02   DCURN   OK      AUG21/97                                            
ACREPWI02   JSHAN   OK      JUL29/97                                            
ACREPWP02   AWILN   FX      NOV25/97                                            
ACREPWX02   AWILN   OK      SEP30/97                                            
ACREPXW02   RDESN   OK      JUL30/97                                            
ACREPZP02   MNASN                           File fix type program               
         EJECT 1                                                                
ACREP0703   DCURN   OK      AUG21/97                                            
ACREP0802   LSTAN   OK      SEP24/97                                            
ACREP0803   LSTAN   FX      SEP23/97                                            
ACREP0804   MNASN   FX      MAR03/98                                            
ACREP1002   RDESN   OK      AUG08/97                                            
ACREP1202   RDESN   OK      JUL29/97                                            
ACREP1402   RDESN   OK      AUG08/97                                            
ACREP2102   RDESN   OK      JUL10/97                                            
ACREP2502   JDILN   OK      May01/98                                            
ACREP2602   JSHAN   OK      DEC09/97                                            
ACREP2702   AWILN   FX      DEC29/97                                            
ACREP3A02   AWILN   OK      DEC10/97                                            
ACREP3D02   LSTAN   FX      Apr21/98                                            
ACREP3102   LSTAN   FX      Apr23/98                                            
ACREP3202   LSTAN   OK      Apr22/98                                            
ACREP3402   JDILN   OK      May01/98                                            
ACREP3602   JDILN   OK      May01/98                                            
ACREP3802   JDILN   OK      May01/98                                            
ACREP4002   JDILN   OK      May01/98                                            
ACREP4102   PCASN   OK      Dec10/97                                            
ACREP4202   LSTAN   OK      Sep23/97                                            
ACREP4502   RDESN   OK      Jul29/97                                            
ACREP4702   RDESN   OK      Jul30/97                                            
ACREP5002   PCASN   OK      Dec10/97                                            
ACREP5402   LSTAN   FX      Oct01/97                                            
ACREP5403   LSTAN   FX      Oct01/97                                            
ACREP5502   JDILN   FX      Aug04/97                                            
ACREP5602   JDILN   OK      Jul28/97                                            
ACREP5702   AWILN   OK      Dec16/97                                            
ACREP5703   AWILN   FX      Dec16/97                                            
ACREP5802   JDILN   OK      May01/98                                            
ACREP5803   JDILN   OK      May01/98                                            
ACREP5902   LSTAN   FX      02/20/98                                            
ACREP6002   LSTAN   OK      JAN08/98                                            
ACREP6102   RDESN   OK      AUG14/97                                            
ACREP6202   RDESN   OK      JUL30/97                                            
ACREP6402   RDESN   OK      JUL30/97                                            
ACREP6502   RDESN   OK      JUL30/97                                            
ACREP6602   LSTAN   FX      JAN08/98                                            
ACREP6702   AWILN   FX      AUG01/97  pend set from 999999 to FFFFFF            
ACREP7A02   RDESN   OK      JUL30/97                                            
ACREP7002   RDESN   OK      JUL29/97                                            
ACREP7102   RDESN   OK      JUL29/97                                            
ACREP7202   RDESN   OK      JUL29/97                                            
ACREP7302   AWILN   OK      AUG01/97                                            
ACREP7402   RDESN   OK      JUL29/97                                            
ACREP7502   RDESN   OK      JUL29/97                                            
ACREP7602   RDESN   OK      JUL29/97                                            
ACREP7702   RDESN   OK      JUL29/97                                            
ACREP7802   RDESN   OK      JUL29/97                                            
ACREP7902   RDESN   OK      JUL29/97                                            
ACREP8A02   LSTAN   OK      Jan09/98                                            
AC0EP8002   RDESN   FX      AUG06/97                                            
ACREP8102   LSTAN   OK      AUG20/97                                            
ACREP8202   LSTAN   OK      JAN13/98                                            
ACREP8302   RDESN   OK      AUG08/97                                            
ACREP8402   RDESN   OK      JUL30/97                                            
ACREP8502   LSTAN   FX      JAN14/98   $REQ needs to check for 12 months        
ACREP8602   PCASN   OK      JAN09/98   No longer requestable                    
ACREP8702   LSTAN   FX      JAN14/98   $REQ needs to check for 12 months        
ACREP8802   PCASN   OK      JAN09/98   No longer requestable                    
ACREP8902   PCASN   OK      Jan09/98   Should be deleted                        
ACREP9A02   LSTAN   FX      JAN23/97                                            
ACREP9102   PCASN   OK      Jan09/98   Should be deleted                        
ACREP9202   LSTAN   FX      Jan29/98                                            
ACREP9302   JDILN   OK      May01/98                                            
ACREP9502   LSTAN   FX      APR16/98                                            
ACREP9602   PCASN   OK      JAN09/98   Should be deleted                        
ACREP9702   RDESN   OK      JUL30/97                                            
ACREP9802   GHOAN   FX      AUG04/97                                            
         EJECT                                                                  
************************************************************************        
*   ON-LINE PROGRAMS PAN BOOK                                          *        
************************************************************************        
*                                                                      *        
*                                                                      *        
************************************************************************        
*   BATCH PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACBAT00     GHOAN   OK      AUG07/97                                            
ACBAT01     GHOAN   OK      AUG07/97                                            
ACBAT02     GHOAN   OK      AUG07/97                                            
ACBAT03     GHOAN   OK      AUG07/97                                            
ACBAT05     GHOAN   OK      AUG08/97                                            
ACBAT06     GHOAN   OK      AUG08/97                                            
ACBAT07     GHOAN   OK      AUG08/97                                            
ACBAT08     GHOAN   OK      AUG08/97                                            
ACBAT0B     GHOAN   OK      AUG08/97                                            
ACBAT0E     GHOAN   OK      AUG08/97                                            
ACBAT10     GHOAN   OK      AUG08/97                                            
ACBAT12     GHOAN   OK      AUG08/97                                            
ACBAT13     GHOAN   OK      AUG08/97                                            
ACBAT15     GHOAN   OK      AUG08/97                                            
ACBAT16     GHOAN   OK      AUG08/97                                            
