*          DATA SET ACYR2000   AT LEVEL 073 AS OF 12/30/99                      
         TITLE 'PAN BOOK CONVERTED TO YEAR 2000 COMPLIANCE'                     
***********************************************************************         
*  KEY of status                                                      *         
*         FX  - FIXED                                                 *         
*         OK  - LOOKED AT AND NO CHANGES NEEDED                       *         
*         NG  - NEEDS TO BE FIXED                                     *         
*         IT  - IN TESTING                                            *         
***********************************************************************         
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------  ---------------------------------         
ACINT22     GHOAN   OK      JAN26/98                                            
ACINT30     GHOAN   OK      JAN26/98                                            
         EJECT                                                                  
************************************************************************        
*   $INV  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACINV00     RDESN   OK      JUL10/97                                            
ACINV01     RDESN   OK      JUL10/97                                            
ACINV02     RDESN   OK      JUL10/97                                            
ACINV03     RDESN   OK      JUL10/97                                            
         EJECT                                                                  
************************************************************************        
*   $FIL  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACLFM00     DCURN   OK     AUG07/97                                             
ACLFM01     DCURN   OK     AUG07/97                                             
ACLFM02     DCURN   OK     AUG07/97                                             
ACLFM03     DCURN   OK     AUG08/97                                             
ACLFM04     DCURN   OK     AUG08/97                                             
ACLFM06     DCURN   OK     AUG08/97      no longer used                         
ACLFM07     DCURN   OK     AUG08/97                                             
ACLFM08     DCURN   OK     AUG08/07      no longer used                         
ACLFM09     DCURN   OK     AUG08/97      no longer used                         
ACLFM0A     RDESN   OK     AUG08/97      no longer used                         
ACLFM0B     RDESN   OK     AUG08/97      no longer used                         
ACLFM0C     RDESN   OK     AUG08/97      no longer used                         
ACLFM0D     RDESN   OK     AUG08/97                                             
ACLFM0E     DCURN   OK     AUG08/97                                             
ACLFM0F     DCURN   OK     AUG11/97                                             
ACLFM10     DCURN   OK     AUG11/97      no longer used                         
ACLFM11     DCURN   OK     AUG11/97                                             
ACLFM12     DCURN   OK     AUG11/97      no longer used                         
ACLFM13     DCURN   OK     AUG11/97                                             
ACLFM14     DCURN   OK     AUG11/97                                             
ACLFM15     DCURN   OK     AUG11/97                                             
ACLFM16     DCURN   OK     AUG12/97      no longer used?????                    
ACLFM17     DCURN   OK     AUG12/97                                             
ACLFM18     DCURN   FX     AUG07/97    SET PERM EXPIRY DATE TO 'FFFFFF'         
ACLFM19     DCURN   OK     AUG12/97      no longer used                         
ACLFM20     DCURN   FX     AUG13/97                                             
ACLFM21     DCURN   OK     AUG12/97                                             
ACLFM22     DCURN   OK     AUG12/97                                             
ACLFM24     RDESN   OK     AUG14/97                                             
ACLFM25     RDESN   OK     AUG14/97                                             
ACLFM26     DCURN   OK     AUG14/97                                             
ACLFM27     DCURN   FX     AUG14/97                                             
ACLFM28     DCURN   OK     AUG14/97                                             
ACLFM29     DCURN   OK     AUG12/97                                             
ACLFM2B     DCURN   OK     AUG14/97                                             
ACLFM30     JDILN   OK     May01/98                                             
ACLFM31     DCURN   OK     AUG14/97                                             
ACLFM32     DCURN   OK     AUG15/97                                             
ACLFM33     DCURN   OK     AUG15/97                                             
ACLFM34     DCURN   OK     AUG15/97                                             
ACLFM35     DCURN   FX     AUG15/97                                             
ACLFM36     DCURN   OK     AUG15/97                                             
ACLFM37     DCURN   OK     AUG15/97                                             
ACLFMBLTYP  RDESN   OK     AUG14/97                                             
ACLFMDELEL  RDESN   OK     AUG14/97                                             
ACLFMPUTEL  RDESN   OK     AUG14/97                                             
ACLFM089A   RDESN   OK     AUG14/97                                             
         EJECT                                                                  
************************************************************************        
*   $MAC  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACMAC00     AWILN   OK      DEC11/97                                            
ACMAC01     AWILN   OK      DEC11/97                                            
ACMAC02     AWILN   OK      DEC11/97                                            
ACMAC03     AWILN   OK      DEC11/97                                            
         EJECT                                                                  
************************************************************************        
*   $MRK  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACMRK00     JFOXL   FX/OK             New version by UK                         
ACMRK01     JFOXL   FX/OK                                                       
ACMRK02     JFOXL   FX/OK                                                       
ACMRK03     JFOXL   FX/OK                                                       
ACMRK04     JFOXL   FX/OK                                                       
ACMRK05     JFOXL   FX/OK                                                       
ACMRK06     JFOXL   FX/OK                                                       
ACMRK07     JFOXL   FX/OK                                                       
ACMRK08     JFOXL   FX/OK                                                       
ACMRK09     JFOXL   FX/OK                                                       
ACMRK0A     JFOXL   FX/OK                                                       
ACMRK0B     JFOXL   FX/OK                                                       
ACMRK0C     JFOXL   FX/OK                                                       
ACMRK0D     JFOXL   FX/OK                                                       
ACMRK0E     JFOXL   FX/OK                                                       
ACMRK0F     JFOXL   FX/OK                                                       
ACMRK71     JFOXL   FX/OK                                                       
ACMRK72     JFOXL   FX/OK                                                       
         EJECT                                                                  
************************************************************************        
*   $ORD  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACORD00     RDESN   OK      JUL10/97                                            
ACORD01     RDESN   OK      JUL10/97                                            
ACORD02     RDESN   OK      JUL10/97                                            
ACORD03     RDESN   OK      JUL10/97                                            
ACORD04     RDESN   OK      JUL10/97                                            
ACORD50     RDESN   OK      JUL10/97                                            
         EJECT                                                                  
************************************************************************        
*   $PROD PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACPRO00     RDESN   OK      JUL08/97                                            
ACPRO01     RDESN   OK      JUL08/97                                            
ACPRO02     RDESN   OK      JUL08/97                                            
ACPRO03     RDESN   OK      AUG14/97                                            
ACPRO04     RDESN   OK      JUL08/97                                            
ACPRO05     RDESN   OK      JUL08/97                                            
ACPRO06     RDESN   OK      JUL08/97                                            
ACPRO07     RDESN   OK      JUL08/97                                            
ACPRO08     RDESN   OK      JUL08/97                                            
ACPRO09     RDESN   OK      JUL08/97                                            
ACPRO0A     RDESN   OK      JUL08/97                                            
ACPRO0B     RDESN   OK      JUL08/97                                            
ACPRO0C     RDESN   OK      JUL08/97                                            
ACPRO0D     RDESN   OK      JUL08/97                                            
ACPRO0E     RDESN   OK      JUL08/97                                            
ACPRO10     RDESN   OK      JUL08/97                                            
ACPRO11     RDESN   OK      JUL08/97                                            
ACPRO12     RDESN   OK      JUL08/97                                            
ACPRO12UK   RDESN   OK      JUL08/97                                            
ACPRO13     RDESN   OK      JUL08/97                                            
ACPRO14     RDESN   OK      JUL08/97                                            
ACPRO15     RDESN   OK      JUL08/97                                            
ACPRO16     RDESN   OK      JUL08/97                                            
ACPRO17     RDESN   OK      JUL08/97                                            
ACPRO18     RDESN   OK      JUL08/97                                            
ACPRO19     RDESN   OK      JUL08/97                                            
ACPRO1A     RDESN   OK      JUL08/97                                            
ACPRO1B     RDESN   OK      JUL08/97                                            
ACPRO1C     RDESN   OK      JUL08/97                                            
ACPRO1D     RDESN   OK      JUL08/97                                            
ACPRO1E     RDESN   OK      JUL08/97                                            
ACPRO1F     RDESN   OK      JUL08/97                                            
ACPRO20     RDESN   OK      JUL08/97                                            
ACPRO21     RDESN   OK      JUL08/97                                            
ACPRO22     RDESN   OK      JUL08/97                                            
ACPRO23     AWILN   OK      AUG01/97                                            
ACPRO24     RDESN   OK      JUL08/97                                            
ACPRO25     RDESN   OK      JUL08/97                                            
ACPRO26     RDESN   OK      JUL08/97                                            
ACPRO27     RDESN   OK      JUL08/97                                            
ACPRO28     RDESN   OK      JUL08/97                                            
ACPRO29     RDESN   OK      JUL08/97                                            
ACPRO2E     RDESN   OK      JUL08/97                                            
ACPRO30     RDESN   OK      JUL08/97                                            
ACPRO31     RDESN   OK      JUL08/97                                            
ACPRO32     RDESN   OK      JUL08/97                                            
ACPRO33     RDESN   OK      JUL08/97                                            
ACPRO34     RDESN   OK      JUL08/97                                            
ACPRO35     RDESN   OK      JUL08/97                                            
ACPRO36     RDESN   OK      JUL08/97                                            
ACPRO37     RDESN   OK      JUL08/97                                            
ACPRO38     RDESN   OK      JUL08/97                                            
ACPRO39     RDESN   OK      JUL08/97                                            
ACPRO3A     RDESN   OK      JUL08/97                                            
ACPRO3B     RDESN   OK      JUL08/97                                            
ACPRO3C     RDESN   OK      JUL08/97                                            
ACPRO3D     RDESN   OK      JUL08/97                                            
ACPRO3E     RDESN   OK      JUL08/97                                            
ACPRO3F     RDESN   OK      JUL08/97                                            
ACPRO40     RDESN   OK      JUL08/97                                            
ACPRO41     RDESN   OK      JUL08/97                                            
ACPRO42     AWILN   OK      AUG01/97                                            
ACPRO43     RDESN   OK      JUL08/97                                            
ACPRO44     RDESN   OK      JUL08/97                                            
ACPRO45     AWILN   OK      AUG01/97                                            
ACPRO46     RDESN   OK      JUL08/97                                            
ACPRO47     RDESN   OK      JUL08/97                                            
ACPRO48     RDESN   OK      JUL08/97                                            
ACPRO49     RDESN   OK      JUL08/97                                            
ACPRO50     RDESN   OK      JUL08/97                                            
ACPRO58     RDESN   OK      JUL08/97                                            
ACPRO59     RDESN   OK      JUL08/97                                            
ACPRO60     RDESN   OK      JUL08/97                                            
ACPRO61     RDESN   OK      JUL08/97                                            
ACPROCPT    RDESN   OK      JUL08/97                                            
ACPROGEN    RDESN   OK      JUL08/97                                            
ACPRORATA   RDESN   OK      JUL08/97                                            
         EJECT                                                                  
************************************************************************        
*   $RCV  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACREC00                                                                         
ACREC01                                                                         
ACREC02                                                                         
ACREC03                                                                         
ACREC04                                                                         
ACREC05                                                                         
ACREC11                                                                         
ACREC13                                                                         
ACRECON                                                                         
ACRECTYP                                                                        
         EJECT                                                                  
************************************************************************        
*   $REG  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACREG00     MNAS    FX      Sep26/97                                            
         EJECT                                                                  
************************************************************************        
*   $REQ  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACREQ00     RDESN   OK      JUL30/97                                            
ACREQ01     RDESN   OK      JUL30/97                                            
ACREQ02     RDESN   OK      AUG19/97                                            
ACREQ03     RDESN   OK      AUG21/97                                            
ACREQ04     RDESN   OK      AUG19/97                                            
ACREQ05     RDESN   OK      JUL30/97                                            
ACREQ08     RDESN   OK      JUL30/97                                            
ACREQ09     RDESN   OK      JUL30/97                                            
         EJECT                                                                  
************************************************************************        
*   $SCRIBE PROGRAM                                                    *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACSCR00     LSTAN   OK                                                          
ACSCR01     LSTAN   OK                                                          
ACSCR02     LSTAN   OK                                                          
ACSCR03     LSTAN   OK                                                          
ACSCR04     LSTAN   OK                                                          
ACSCR05     LSTAN   OK                                                          
ACSCR06     AHYDN   FX       APR09/98                                           
ACSCR07     LSTAN   FX                                                          
ACSCR08     LSTAN   OK                                                          
ACSCR09     LSTAN   OK                                                          
ACSCR0A     LSTAN   OK                                                          
ACSCR0B     LSTAN   OK                                                          
ACSCR0C     LSTAN   OK                                                          
ACSCR0D     LSTAN   OK                                                          
ACSCR0E     LSTAN   OK                                                          
ACSCR0F     LSTAN   OK                                                          
ACSCR11     LSTAN   OK                                                          
ACSCR12     LSTAN   OK                                                          
ACSCR13     LSTAN   OK                                                          
ACSCR14     LSTAN   FX                                                          
ACSCR15     LSTAN   OK       Apr20/98                                           
ACSCR16     LSTAN   OK                                                          
ACSCR17     LSTAN   OK                                                          
ACSCR20     LSTAN   OK                                                          
ACSCRREQ    LSTAN   OK                                                          
         EJECT                                                                  
************************************************************************        
*   $TRANS  PROGRAM                                                    *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACTRA00     JSHAN   OK       SEPT01/98                                          
ACTRA01     JSHAN   OK       JUNE25/98                                          
ACTRA02     JSHAN   OK       JUNE25/98                                          
ACTRA03     JSHAN   OK       JUNE25/98                                          
ACTRA04     JSHAN   OK       JUNE25/98                                          
ACTRA05     JSHAN   OK       SEPT01/98                                          
ACTRA06     JSHAN   OK       SEPT01/98                                          
ACTRA07     JSHAN   FX       SEPT01/98                                          
ACTRA08     JSHAN   FX       SEPT01/98                                          
ACTRACK     JSHAN   OK       SEPT01/98                                          
         EJECT                                                                  
************************************************************************        
*   $VOID   PROGRAM                                                    *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
                                                                                
ACVOI00     LSTAN   FX      Jan05/98                                            
         EJECT                                                                  
************************************************************************        
*   $WFM    PROGRAM                                                    *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACWFM00     MNAS                                                                
         EJECT                                                                  
************************************************************************        
*   $WRITER PROGRAM                                                    *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACWRI00     RDESN   OK      JUL29/97                                            
ACWRI01     RDESN   OK      JUL29/97                                            
ACWRI9A     RDESN   OK      JUL29/97                                            
ACWRIDATE   JDILN   FX      JUN19/97                                            
ACWRIPEVAL  RDESN   OK      AUG14/97                                            
         EJECT                                                                  
************************************************************************        
*   $WRK PROGRAM                                                       *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACWRK00     JDILN   OK      May01/98                                            
ACWRK01     JDILN   OK      May01/98                                            
ACWRK02     JDILN   OK      May01/98                                            
         EJECT                                                                  
************************************************************************        
*   AC DUMP/LOAD                                                       *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACLDBALC    JDILN   OK      Apr30/98                                            
ACLDCPTR    JDILN   OK      Apr30/98                                            
ACLDDCNT    JDILN   OK      Apr30/98                                            
ACLDDEFN    JDILN   OK      APR30/98                                            
ACLDHST     JDILN   OK      Apr30/98                                            
ACLDLANG    JDILN   OK      Apr30/98                                            
ACLDPRGE    JDILN   FX      Apr30/98                                            
ACLDSORT    JDILN   OK      Apr30/98                                            
ACLDTPTR    JDILN   OK      Apr30/98                                            
         EJECT                                                                  
************************************************************************        
*   MISCELLANEOUS                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACACCDIV    JDILN   OK      May01/98                                            
ACACCGEN    RDESN   FX      JUL11/97                                            
ACACCIO     JDILN   OK      May01/98                                            
ACACCLEDG   JDILN   OK      May01/98                                            
ACACCLIST   LSTAN   OK      MAR25/98                                            
ACACCMERGE  JDILN   OK      May01/98                                            
ACACCOLADE  JDILN   OK      May01/98                                            
ACACCRECST  JDILN   OK      May01/98                                            
         EJECT                                                                  
************************************************************************        
*   GENERAL ROUTINES                                                   *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACGENEDIT   PCASN   OK      Dec10/97                                            
ACGENINI    JDILN   OK      May01/98                                            
ACGEN6C     RDESN   OK      SEP25/97                                            
ACGEN6D     RDESN   OK      SEP25/97                                            
ACGEN6E     GHOAN   FX      JUL02/97                                            
ACGEN6F     GHOAN   FX      JAN20/98                                            
         EJECT                                                                  
************************************************************************        
*   MORE                                                               *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACADDTRN    JDILN   OK      May01/98                                            
ACAMTVAL    PCASN   OK      Dec10/97                                            
ACAPG       JDILN   OK      Aug05/97                                            
ACAPGXREF   JDILN   OK      Aug05/97                                            
ACASOF      LSTAN   OK      Jan05/98                                            
ACBMONVAL   JDILN   FX      MAY04/98                                            
ACBUCKET    AHYDN   OK      Jan22/98                                            
ACCATCALL   JDILN   ok      Aug06/97                                            
ACCATKIN    PCASN   OK      Dec10/97                                            
ACCHOPCON   AHYDN   OK      Dec10/97                                            
ACCONVMOS   JDILN   FX      Jun26/96  LSTAN verified                            
ACDISCOL    JDILN   ok      Sep10/97                                            
ACDISOPT    JDILN   ok      Sep10/97                                            
ACDUMPER    JDILN   ok      Aug06/97                                            
ACEXCEL     JDILN   ok      Sep10/97                                            
ACEXTFIX    JDILN   OK      Aug05/97                                            
ACEXTHST    JDILN   OK      Aug05/97                                            
         EJECT                                                                  
************************************************************************        
*   $NFIL PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACFIL00     JDILN   OK      May01/98                                            
ACFIL04     JDILN   OK      May01/98                                            
ACFIL20     JDILN   OK      May01/98                                            
ACFIL21     JDILN   OK      May01/98                                            
ACFIL22     JDILN   OK      May01/98                                            
ACFIL23     JDILN   OK      May01/98                                            
ACFIL24     JDILN   OK      May01/98                                            
ACFIL25     JDILN   OK      May01/98                                            
ACFIL26     JDILN   OK      May01/98                                            
ACFILCOMP   JDILN   OK      Aug05/97                                            
ACFILCONV   JDILN   OK      Aug05/97                                            
ACFILINI    JDILN   OK      Aug05/97                                            
ACFILMERG   JDILN   OK      Aug05/97                                            
         EJECT                                                                  
************************************************************************        
*   MORE  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACGETCAP    DCURN   OK      AUG21/97                                            
ACGETOPT    RDESN   OK      JUL23/97                                            
ACGETSAL    DCURN   OK      DEC15/97                                            
ACGETSCH    RDESN   OK      JUL23/97                                            
ACGETSTD    DCURN   OK      DEC15/97                                            
ACGETTXT    RDESN   OK      JUL23/97                                            
ACGETUSR    RDESN   OK      JUL23/97                                            
ACJOBAGE    LSTAN   OK      JUL29/96   has test for 05/18/92                    
ACJOBBER    RDESN   OK      JUL23/97                                            
ACJOBCOL    RDESN   OK      JUL23/97                                            
ACJOBEXCP   LSTAN   FX      MAR03/98                                            
ACJOBMNT    RDESN   OK      JUL23/97                                            
ACMASTER    JDILN   Ok      Aug05/97                                            
ACNV00      JDILN   OK      Aug05/97                                            
ACNV01      JDILN   OK      Aug05/97                                            
ACNV02      JDILN   OK      Aug05/97                                            
ACNV03      JDILN   OK      Aug05/97                                            
ACNV04      JDILN   OK      Aug05/97                                            
ACNV05BS    JDILN   OK      Aug05/97                                            
ACNV05HL    JDILN   OK      Aug05/97                                            
ACNV05MI    JDILN   OK      Aug05/97                                            
ACNV05VB    JDILN   OK      Aug05/97                                            
ACNV06SJ    JDILN   OK      Aug05/97                                            
ACOFFAL     JDILN   OK      Aug05/97                                            
ACPAYSPT    JDILN   OK      Sep12/97                                            
ACPAYXFR    JDILN   OK      Sep12/97                                            
ACPERCALL   DCURN   OK      DEC15/97                                            
ACPERFACT   LSTAN   OK      MAR31/98   records use packed dates                 
ACPOPTCONV  RDESN   OK      Dec10/97                                            
ACPOSTER    JSHAN   OK      SEP02/98                                            
ACPOSTWRK   JDILN   Ok      Sep12/97                                            
ACPRESENT   JDILN   OK      Dec03/97                                            
ACPRESTO    JDILN   OK      Dec03/97                                            
ACPRINT     JDILN   FX      Oct15/97                                            
ACPRVTAB    JDILN   Ok      Sep12/97                                            
ACPTACNV    JDILN   OK      Sep12/97                                            
ACRAPPER    JDILN   Ok      Sep12/97                                            
ACSALHST    JDILN   Ok      Sep12/97                                            
ACSETLOCK   JDILN   OK      Sep12/97                                            
ACSLRY      JDILN   FX      Sep18/97                                            
ACSPLITACC  JDILN   OK      Sep16/97                                            
ACSRCHCALL  JDILN   OK      Sep16/97                                            
ACSRCHDIR   JDILN   OK      Sep16/97                                            
ACSRCHPASS  JDILN   OK      Sep16/97                                            
ACSYSDRIVE  JDILN   OK      Sep16/97                                            
ACTEXTER    JDILN   OK      Sep16/97                                            
ACTIMETRN   JDILN   OK      Sep16/97                                            
ACTMSUPD    JDILN   OK      Sep16/97                                            
ACTMSXFR    JDILN   OK      Sep16/97                                            
ACTYPCHK    JDILN   Ok      Sep16/97                                            
ACVALOPT    RDESN   OK      JUL23/97                                            
ACVATICAN   JDILN   OK      Sep16/97                                            
ACWINTER    JDILN   ok      Sep16/97                                            
ACWKSCAN    JDILN   OK      Sep12/97                                            
ACWLEVEL    JDILN   OK      Sep12/97                                            
AC1RMNT     JDILN   OK      Sep12/97                                            
         EJECT 1                                                                
***********************************************************************         
*  APG HOOKS                                                                    
***********************************************************************         
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
APGLIST     JDILN   ok      Sep16/97                                            
APGHFIBDC   MNASN   OK      Sep03/97                                            
APGHFIBDG   MNASN   OK      Sep03/97                                            
APGHFIBDH   MNASN   OK      Sep03/97                                            
APGHFIBSA   MNASN   OK      Sep03/97                                            
APGHFIBSC   MNASN   OK      Sep03/97                                            
APGHFIBSE   MNASN   OK      Sep03/97                                            
APGHFIBSF   MNASN   OK      Sep03/97                                            
APGHFIBSG   MNASN   OK      Sep03/97                                            
APGHFICEA   MNASN   OK      Sep03/97                                            
APGHFICE7   MNASN   OK      Sep04/97                                            
APGHFIDMA   MNASN   OK      Sep04/97                                            
APGHFIDMB   MNASN   FX      Sep12/97                                            
APGHFIDMC   MNASN   FX      Sep12/97                                            
APGHFIDMD   MNASN   OK      Sep04/97                                            
APGHFIDMG   MNASN   OK      Sep12/97                                            
APGHFIDNA   MNASN   OK      Sep04/97                                            
APGHFIFPA   MNASN   OK      Sep04/97                                            
APGHFIGVB   MNASN   FX      Sep12/97                                            
APGHFIGVC   MNASN   FX      Sep12/97                                            
APGHFIGVD   MNASN   OK      Sep04/97                                            
APGHFILMC   MNASN   OK      Sep04/97                                            
APGHFILM0   MNASN   OK      Sep04/97                                            
APGHFIMIA   MNASN   OK      Sep04/97                                            
APGHFIMIZ   MNASN   OK      Sep04/97                                            
APGHFINEA   MNASN   OK      Sep04/97                                            
APGHFINEB   MNASN   OK      Sep04/97                                            
APGHFINEC   MNASN   OK      Sep04/97                                            
APGHFINWC   MNASN   OK      Sep12/97                                            
APGHFINWE   MNASN   FX      Sep16/97                                            
APGHFINWF   MNASN   OK      Sep16/97                                            
APGHFINWG   MNASN   OK      Sep17/97                                            
APGHFINWH   MNASN   OK      Sep17/97                                            
APGHFINWI   MNASN   OK      Sep17/97                                            
APGHFINWJ   MNASN   OK      Sep04/97                                            
APGHFINWS   MNASN   OK      Sep17/97                                            
APGHFINW0   MNASN   OK      Sep17/97                                            
APGHFINW2   MNASN   OK      Sep17/97                                            
APGHFIOA8   MNASN   OK      Sep17/97                                            
APGHFIPNB   MNASN   FX      Sep22/97                                            
APGHFIPNC   MNASN   FX      Sep22/97                                            
APGHFIRU1   MNASN   OK      Sep04/97                                            
APGHFISJ2   MNASN   OK      Sep22/97                                            
APGHFIWDA   MNASN   OK      Sep04/97                                            
APGHFIYN2   MNASN                                                               
*                                                                               
APGHM2BS1   MNASN   OK      Sep22/97                                            
APGHM2BS4   MNASN   OK      Sep22/97                                            
APGHM2CEF   MNASN   OK      Sep22/97                                            
APGHM2CE1   MNASN   OK      Sep22/97                                            
APGHM2CE2   MNASN   OK      Sep22/97                                            
APGHM2HK    MNASN   OK      Sep22/97                                            
APGHM2NW    MNASN   OK      Sep22/97                                            
APGHM2NWN   MNASN   OK      Sep22/97                                            
APGHM2NW1   MNASN   OK      Sep23/97                                            
APGHM2NW2   MNASN   OK      Sep23/97                                            
APGHM2NW4   MNASN   OK      Sep22/97                                            
APGHM2NW5   MNASN   OK      Sep22/97                                            
APGHM2NW6   MNASN   OK      Sep22/97                                            
APGHM2OAA   MNASN   OK      Sep26/97                                            
APGHM2OAB   MNASN   OK      Sep26/97                                            
APGHM2OAC   MNASN   OK      Sep26/97                                            
APGHM2OAD   MNASN   OK      Sep26/97                                            
APGHM2OAE   MNASN   OK      Sep26/97                                            
APGHM2OAF   MNASN   OK      Sep26/97                                            
APGHM2OAX   MNASN   OK      Sep26/97                                            
APGHM2OA1   MNASN   OK      Sep26/97                                            
APGHM2OA2   MNASN   OK      Sep26/97                                            
APGHM2OA3   MNASN   OK      Sep26/97                                            
APGHM2OA4   MNASN   OK      Sep26/97                                            
APGHM2OA5   MNASN   OK      Sep26/97                                            
APGHM2OA6   MNASN   OK      Sep26/97                                            
APGHM2OA8   MNASN   OK      Sep26/97                                            
APGHM2RU1   MNASN   OK      Sep26/97                                            
APGHIVBSD   MNASN   OK      Sep26/97                                            
APGHIVBSG   MNASN   OK      Sep26/97                                            
